abschlussDe;ausbildungskategorie;ausbildungsstaetteDe;Bildungsrichtung (Optional)
Eidg. Fachausweis (Berufsprüfung BP);BERUFSPRUEFUNG;Feusi Bildungszentrum, Bern;
Fachmaturität;FACHMITTELSCHULE;FMS Biel-Seeland;
Gymnasiale Maturität (ohne GYM1 im 9. Schuljahr);GYMNASIUM;Freies Gymnasium Bern;
Eidg. Berufsattest EBA (Vollzeitschule);BERUFSFACHSCHULEN;Gartenbauschule Hünibach;
Eidg. Fähigkeitszeugnis EFZ (Vollzeitschule);BERUFSFACHSCHULEN;Gartenbauschule Hünibach;
Eidg. Fähigkeitszeugnis EFZ (dual Schule-Lehrbetrieb);BERUFSFACHSCHULEN;GIBB Bern;
Berufsmaturität 2;BERUFSFACHSCHULEN;GIBB Bern;
Eidg. Fachausweis (Berufsprüfung BP);BERUFSPRUEFUNG;GIBB Bern;
Diplom HF;HOEHERE_FACHSCHULE;GIBB Bern;
Eidg. Diplom (höhere Fachprüfung HFP);HOEHERE_FACHPRUEFUNG;GIBB Bern;
Gymnasiale Maturität (ohne GYM1 im 9. Schuljahr);GYMNASIUM;Gymnase de Bienne et du Jura bernois;
Eidg. Fähigkeitszeugnis EFZ (Vollzeitschule);BERUFSFACHSCHULEN;Gymnase de Bienne et du Jura bernois;
FMS Ausweis;FACHMITTELSCHULE;Gymnase de Bienne et du Jura bernois;
Eidg. Fähigkeitszeugnis EFZ (Vollzeitschule);BERUFSFACHSCHULEN;Gymnase de Bienne et du Jura bernois;
Gymnasiale Maturität (ohne GYM1 im 9. Schuljahr);GYMNASIUM;Gymnase pour adultes de Chamblandes;
Gymnasiale Maturität (ohne GYM1 im 9. Schuljahr);GYMNASIUM;Gymnasium  Langenthal;
Gymnasiale Maturität (ohne GYM1 im 9. Schuljahr);GYMNASIUM;Gymnasium Biel Seeland;
Berufsmaturität 2;BERUFSFACHSCHULEN;Gymnasium Biel Seeland;
Eidg. Fähigkeitszeugnis EFZ (Vollzeitschule);BERUFSFACHSCHULEN;Gymnasium Biel Seeland;
Gymnasiale Maturität (ohne GYM1 im 9. Schuljahr);GYMNASIUM;Gymnasium Burgdorf;
Gymnasiale Maturität (ohne GYM1 im 9. Schuljahr);GYMNASIUM;Gymnasium Hofwil, M'buchsee;
Gymnasiale Maturität (ohne GYM1 im 9. Schuljahr);GYMNASIUM;Gymnasium Interlaken;
Gymnasiale Maturität (ohne GYM1 im 9. Schuljahr);GYMNASIUM;Gymnasium Kirchenfeld, Bern;
Gymnasiale Maturität (ohne GYM1 im 9. Schuljahr);GYMNASIUM;Gymnasium Neufeld, Bern;
Passerelle Berufsmaturität/Fachmaturität – universitäre Hochschulen;BRUECKENANGEBOT;Gymnasium Neufeld, Bern;HOCHSCHULE
Gymnasiale Maturität (ohne GYM1 im 9. Schuljahr);GYMNASIUM;Gymnasium Oberaargau;
Gymnasiale Maturität (ohne GYM1 im 9. Schuljahr);GYMNASIUM;Gymnasium Thun;
Diplom HF;HOEHERE_FACHSCHULE;HF für Drogisten/Drogistinnen ESD;
Diplom HF;HOEHERE_FACHSCHULE;HF für Technik Mittelland AG (hftm);
Diplom HF;HOEHERE_FACHSCHULE;HF Gesundheit und Soziales HFGS;
Diplom HF;HOEHERE_FACHSCHULE;Höhere Fachschule Bereich Gesundheit Valais-Wallis;
